Voici la liste des ancêtres de Jésus-Christ, descendant de David, lui-même descendant d'Abraham.	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
Nous tous, nous étions aussi comme eux, nous vivions selon les désirs de notre propre nature, nous faisions ce que voulaient notre corps et notre esprit. Ainsi, à cause de notre nature, nous étions destinés à subir le jugement de Dieu comme les autres.	Tito bɑ so ghiŋ a biŋ bɑ so fa' a bəŋ po. Mfɑ pɔk pɔ gɑ pɑ́ pɔ pyə mcu'tə nthəm wap a, bɑ ghu'tə Kristo.
Mais la compassion de Dieu est immense, son amour pour nous est tel que	Po la'tə mtiŋ yɔ nthi ŋkhuŋnyə ba mtiŋ pa' pyə dɑ wɔ nə fyə́ bəŋ pu a bi pu dzə̌ cu'tə.
lorsque nous étions spirituellement morts à cause de nos fautes, il nous a fait revivre avec le Christ. C'est par la grâce de Dieu que vous avez été sauvés.	A sɔ' m̀ nə ywə nə ŋkwitə́ pɔ dɔlɔ̌ bɑ a ka kwitə gɑ bvə bi po nə́.
Dans notre union avec Jésus-Christ, Dieu nous a ramenés de la mort avec lui pour nous faire régner avec lui dans le monde céleste.	Gɑ̌ zhyə́ mkwɛnyə pɑpuŋ mɔ, a piŋ bɑ ywə yə gɑ nə fyə́ nə po dzə̌ pɑ Makedonya a; ŋ də́ siŋ wap gɑ́ yə wə pɑ Akaya lə́ bəmtə tə́ gu' po'o, bɑ yɔ nə kaktʉɔ nə́ lə jam bo'gwyə mcu'tə.
Par la bonté qu'il nous a manifestée en Jésus-Christ, il a voulu démontrer pour tous les siècles à venir la richesse extraordinaire de sa grâce.	Gɑ̌ wə nthəm mfɑmfɑ bi po po'o gɑ nə fyə́ yə gɑ̌ gə nə po a kɑ pɑ́ pɔpɔ, a piŋ bɑ pa' ŋ də ghɔm a po nə cwə̌ bɑ byap nyənyɔ.
Car c'est par la grâce de Dieu que vous avez été sauvés, au moyen de la foi. Ce salut ne vient pas de vous, il est un don de Dieu	Gɑ wə bwɔk da' gɑ pɑ́ tyɛ' pyə a pɑ Makedonya pəmtə sɔ̌', nə ŋwak tə nwə guŋ bəmtə́, yɑ pa' ŋ khɑ cəŋtə gɔm a cʉ' kuso bi pyə ba m̀ bi po.
il n'est pas le résultat de vos efforts, et ainsi personne ne peut se vanter.	A po'o tə́ ŋ khɑ ləŋdzə nthəm mfɑmfɑ́ gɑ wap pɑ nthamdzə wə po, nyaptə yɔ ywə hɑhɑ̌, po'o gɑ cwə yə ywə yə po lə ka'nyə nə hɑ a, po cwə tə hɑ a kɑ pɑ̌ pɑ́ tsə nám.
En effet, c'est Dieu qui nous a formés; il nous a créés, dans notre union avec Jésus-Christ, pour que nous menions une vie riche en actions bonnes, celles qu'il a préparées d'avance afin que nous les pratiquions.	Po kamtə́ gɑ mo yə e dɑ́ nám dzə ywə a da' ŋkhap pɑ tsə nám, mo yə e nəŋ dzə ywə a yɔm a la' ŋkhap a yɔm.
Rappelez-vous ce que vous étiez autrefois! Vous n'êtes pas juifs de naissance; les Juifs vous traitent d'incirconcis alors qu'ils s'appellent circoncis en raison d'une opération pratiquée dans leur chair.	Bǎ ya mo lə́ nə po hɑ ywə pa' tʉm tsyə́ nə sa' e a, hɑ tə pɑ̌ jwiŋ, e kɑ hɑ m pa' pu nthənyə é thənyə a, nə pa' Si ŋkhuŋ mo yə e dɑ ŋwɛ́nyə̀ tə́ nə hɑ ywə a.
Eh bien, en ce temps-là, vous étiez loin du Christ; vous étiez étrangers, vous n'apparteniez pas au peuple de Dieu; vous étiez exclus des alliances fondées sur la promesse divine; vous viviez dans le monde sans espérance et sans Dieu.	Si ghə tʉɔ nə nə́ shəŋtə́ ŋkwi tsə gho' bi po po'o gɑ́ po ghə ywə yə a gɔ kwitə wɔ á a yɔm tə biŋ bvʉ' yə po gɔ hɑ nə mfa' pɑpúŋ a.
Mais maintenant, dans l'union avec Jésus-Christ, vous qui étiez alors bien loin, vous avez été rapprochés par son sacrifice.	Dəŋdəŋ pa' a bɑ pu və gɑ: Ě ghap, e hɑ ywə bi mpə̌ŋ nwə dəŋdəŋ e shwə mama.
Car c'est le Christ lui-même qui nous a apporté la paix, en faisant des Juifs et des non-Juifs un seul peuple. En donnant son corps, il a abattu le mur qui les séparait et en faisait des ennemis.	Mo yə e hɑ gwya ywə bi dzə̀ywə́ biŋ bɑ hɑ msɛ́ pa' ywətsʉ a gɔ hɑ́ gwya ywə bi po, piŋ ghə a sé, piŋ ghə̌ nthɔ̌m nwə dəŋdəŋ yɔ kwyə́.
Il a annulé la loi juive avec ses commandements et ses règlements, pour former avec les uns et les autres un seul peuple nouveau dans l'union avec lui; c'est ainsi qu'il a établi la paix.	E gɔ ghə po zhi nə guŋ ywə awɛ yə a bɑ yə pɑpuŋ a, po'o gɑ pɑ pɑ̀ hɑ pa'lə bi Si.
Par sa mort sur la croix, le Christ les a tous réunis en un seul corps et les a réconciliés avec Dieu; par la croix, il a détruit la haine.	Fa' ywə yə pu shu'tə hɑ a tə bɑ da' nə hɑ bi pɔ dɔlɔ̌ pɑ, a bɑ ba nə ghə pu hɑ pa'lə bi Si.
Le Christ est donc venu annoncer la Bonne Nouvelle de la paix à vous les plus lointains comme aux plus proches.	Wap gɔ piŋ fa' bɔ, ghu'tə Si nə yɔ nthi nə yu'nyə nə Cùŋ pɑpuŋ Kristo ba nə yɔ nthi nə hɑ ywə nə cwə tamtə po a pú ba guŋ pɔ awɛ.
C'est en effet par le Christ que nous tous, Juifs et non-Juifs, nous pouvons nous présenter devant Dieu, le Père, grâce au même Saint-Esprit.	Wap shyə m nə nə cwyɛ'nyə Si nə thə yɔ, la'tə gɑ wap ŋkhuŋ wɔ, shyə m nə mɑ du gho' yə Si hɑ bi po a.
Par conséquent, vous les non-Juifs, vous n'êtes plus des étrangers, des gens venus d'ailleurs; mais vous êtes maintenant concitoyens des membres du peuple de Dieu, vous appartenez à la famille de Dieu.	Pa'lə pɑ bi Si nə pa' e hɑ tə sɛ dəŋ a.
Vous êtes intégrés dans la construction dont les fondations sont les apôtres et les prophètes, et la pierre d'angle Jésus-Christ lui-même.	Kwa' myə̀ Polo gɑ wə dɑ byanyə́ ba tʉm pɑpuŋ nə Kristo nə həŋtə wɔ, myə̀ yə gɑ fi' nɑ́ a hɑ si cwə yə gɑ̌ cəcɑ̌ po a tə bɑ́ gɛ ŋʉ'tə nə yɔ nwə cwə yə gɑ̌ bɑ gʉə sʉəsʉə a
C'est lui qui assure la solidité de toute la construction et la fait s'élever pour former un temple saint consacré au Seigneur.	Gɑ̌ səso wɔ, a ka puŋ gɑ́ cwə yə gɑ̌ pɑ́ cəcɑ̌ po a dɑ ŋʉ'tə bɔ ŋkho nə pɔ pyə wap jɔ yap gɑ pɑ nwə monəŋthə́ nə shya wɔk pɑ a.
Dans l'union avec lui, vous faites partie vous aussi de la construction pour devenir avec tous les autres la maison que Dieu habite par son Esprit.	Ba pa' pyə bɑ pɑ pɔmnəŋthə́ a, pyə tə do'shù m pa' monəŋthə́ a pɑ́.
C'est pourquoi, moi Paul, j'adresse ma prière à Dieu. Je suis prisonnier au service de Jésus-Christ pour vous les non-Juifs.	Gɛ̌, tsə shù tsɔk tə fɑ m bi monəŋthə́ pɑ, gʉ' tsə shù tsɔk fɑ m bi Si nə nə́ sa'tə pɔ pyə wap sɛ gɑ a bɑ wap ku' a. Pyə sa'tə msɛnwə ŋa'nɑ́
Vous avez certainement entendu parler de la mission dont Dieu, dans sa bonté, m'a chargé en votre faveur.	ba guŋ tʉɔ ŋa'nɑ́ yə a ŋkhɔ nə zhyə Si a. Pyə gəm guŋ kwɛnyə awɛ, gə gɑ a yu'nyə Kristo
Dieu m'a accordé une révélation pour me faire connaître son plan secret. J'ai écrit plus haut quelques mots à ce sujet	biŋ nə cwə̌ bɑ byap nə nyəŋ shɛ thə guŋ nə cyətə yu'nyə nə cwə yə po gɔ la'tə gɑ po yu'nyə kwa' pɑpuŋ a.
et, en les lisant, vous pouvez comprendre à quel point je connais le secret qui concerne le Christ.	Po le nwə pɑ kwa' dəŋdəŋ. Mo yə e sɛ́ gɑ́ e bɑ m̀ bi Kristo a, e zhyə po'o ŋkwi cʉ̌m gɑ e pɑ bi Kristo bɑ ba wɔk yɔk bɑ bi Kristo.
Dans les temps passés, ce secret n'a pas été communiqué aux humains, mais Dieu l'a révélé maintenant par son Esprit à ses saints apôtres et prophètes.	A pɑ́ gɑ gɑ̌ wə ŋa' nɑ a nə tʉɔ yə́ Cyəpɔ hɑ bi pyə nə nə ŋkwyətə wɔ, tə́ la' a pɑ nə nə gə cwəpuŋ nə po, bɑ sǒ tə wə ŋkhú a pɑ́.
Voici ce secret: par le moyen de la Bonne Nouvelle, les non-Juifs sont destinés à recevoir avec les Juifs les biens que Dieu réserve à son peuple, ils sont membres du même corps et bénéficient eux aussi de la promesse que Dieu a faite en Jésus-Christ.	Ŋ tə bɑwə shəŋ m nə́ lɑ mŋwa'nyə mə̌ hɛ́ wɔ pɑ̀.
Je suis devenu serviteur de la Bonne Nouvelle grâce à un don que Dieu, dans sa bonté, m'a accordé en agissant avec puissance.	Nə pa' pu gɔm gɑ́ mŋwa'nyə bɔ tsɑ́ biŋ nthʉɔ té', da' gɑ cwə yə ě si a, e pɑ mo bwapwǎ, ba ghɔm tsyə́ lə pɑ sɔmywə.
Je suis le moindre de tous les croyants; pourtant, Dieu m'a accordé cette faveur d'annoncer aux non-Juifs la richesse infinie du Christ.	Tə mo bɔ cəŋtə jyə́ gɑ́ pyə pɑ gʉɔ sʉəsʉə bɑ pɑ́ gɑ kɑlə́ nə ghɔm tsɔk nə mŋwa'nyə, bɑ pyə gɔ sɔ' tə pɑ́ si pɑ́ pɑ po'o nə mfà' mɔk.
Je dois mettre en lumière, pour tous les humains, la façon dont Dieu réalise son plan secret. Lui qui est le créateur de toutes choses, il a tenu caché ce plan depuis toujours	Pyə tə́ bɑwə shəŋ nə fo' shɑ pɔ kɑ nə pɑ́ pa' wap a pɑ́, shɑ pɔ pyə wap da'tə nɑ́ tsap pɑ wap; bɑ jɔ nɑ tsap pa' fo guŋ ywə awɛ a, wap bɑ mpʉə pó!
afin que maintenant, grâce à l'Église, les autorités et les puissances du monde céleste puissent connaître la sagesse divine sous tous ses aspects.	Sɔ' m nə pyə̌, pyə tə gɔ fyə́ tə twɔk dhə̀ pɑ̀; pyə gɔ fyə́ pɑ nə dəŋ fo' pa' Si hɑ bi pyə tə pyə sɔ' tə ŋkhəm bi po a.
Tout cela est conforme au projet éternel de Dieu, qu'il a réalisé par Jésus-Christ notre Seigneur.	Nə pa' pyə tə́ gɔ twɔk yɔk dhə̀ pa' cwə yə a bɑ pyə ka sɔ' tə́ ŋkhəm wə po a pɑ́. A nyənyɔ gɑ wɔk nə dəŋdzə̀ dɑ Cuŋ pɑpuŋ Kristo nə sɔ' ywə po.
Dans l'union avec le Christ et par notre foi en lui, nous avons la liberté de nous présenter devant Dieu avec une pleine confiance.	Pyə tə bɑwə dɑ pɑ́ fa' mo dyɛ' fyə pɑ́. Pyə bɑwə mɔktə́ m gɑ́ pyə gɔ cyə m nə́ nə lɑ yɔ piŋnthʉm gɔ dzə̀ kwyə́ nə po, nə yɔk nthi fo', kwyə nə ghɔ m̀ dzə̀
Par conséquent, je vous le demande, ne vous laissez pas décourager par les souffrances que j'éprouve pour vous: elles vous assurent un avantage glorieux.	po'o nə lɑ Cuŋ pɑpuŋ gɔ tə ntwɔk yɔ dhə̀; tə́ tə lɑ mfa' mo dyɛ' ŋa' nɑ yɔk.
C'est pourquoi je me mets à genoux devant Dieu, le Père	Mo yə e gɔ ŋa'tə nɑ e a lɑ Cyəpɔ ŋa'tə́
dont dépend toute famille dans les cieux et sur la terre.	mo yə e da'tə nɑ e pɑ yʉ a tə bɑ e ghə ywə tə bi a pɑ mo yɔ pɑ́; mo yə Cyəpɔ da'tə e a nə bɑ mo yə e ghə ywə a.
Je lui demande que, selon la richesse de sa gloire, il fortifie votre être intérieur par la puissance de son Esprit	A la' pe' bi a pɑ po na' biŋ pʉə a! Po piŋ a po'o!
et que le Christ habite dans vos cœurs par la foi. Je demande que vous soyez enracinés et solidement établis dans l'amour	Gɑ̌ wə go' wɔ pa' Si a; ŋ də phə̌ wɔ bi mu' mbɛ pa' pu bhə́ go a, bɑ gɔ la'tə wɔ bi Kristo pa' go tə zhyə́ mbɛ a
pour être capables de comprendre, avec l'ensemble du peuple de Dieu, combien l'amour du Christ est large et long, haut et profond.	tə́ gɑ̌ wə bwɔk gɑ dəŋdəŋ pa' nɔ́k lə lɑ fʉ́ é fʉ́tə Eva a, pɑ́ mkwɛnyə mɔ lə pəmtə nə yə nə fi' nɑ hɑ́ si Kristo.
Oui, puissiez-vous connaître son amour – bien qu'il surpasse toute connaissance – et être ainsi remplis de toute la richesse de Dieu.	Nə pa' mu' mo wuŋ sɔ' siŋ wɔ mu' Yeso yə dyɛ' tə e bɑ yə pyə lə siŋ e bi po a, kɑ po kwi pɑ mu' zhwenyə dyɛ', a lə pɑ yə po lə kwi a lə, kɑ mu' Cuŋ pɑpuŋ tə a bɑ yə po lə kwi a lə, pǒ guŋ nthɔm pɑpuŋ.
A Dieu qui a le pouvoir de faire infiniment plus que tout ce que nous demandons ou même imaginons, par la puissance qui agit en nous	Tə́ gɑ̌ yɔ gɑ mu' ywə yə pɑ ya'nyə mghɛ nthəm ba ghə bɑ ŋ kha ghə a tə̌ wə pɑ.
à lui soit la gloire dans l'Église et par Jésus-Christ, dans tous les temps et pour toujours! Amen.	A sɔ' m̀ nə nə́ yɛshwə, pyə lə pɑ́ ywə! Da' gɑ sɔ' m nə zhyə̌nwə, bɑ pyə̌ ghə zhyənwə. Pyə la'tə bi po nə guŋ ywə awɛ.
Je vous en supplie, donc, moi qui suis prisonnier parce que je sers le Seigneur: vous que Dieu a appelés, conduisez-vous d'une façon digne de cet appel.	A lə bɑ mhɔ bəm nə́ fi' nɑ́ a hɑ si tə́ nə ŋa' wɔ hɑ thə shyə m nə nə siŋ wɔ Cuŋ pɑpuŋ Si tə kwǐ ywə a?
Soyez toujours humbles, doux et patients. Supportez-vous les uns les autres avec amour.	Ŋ dě ŋkwi ywə bi pyə shɑ́ mcu'tə, biŋ yɑ ywə nə bvɔk bi pú tə́ nə fa' bi po.
Efforcez-vous de maintenir l'unité que donne l'Esprit Saint par la paix qui vous lie les uns aux autres.	A piŋ bɑ po'o bɑ cwə yə ŋ də pɑ wə po tə ywə bəm a da tə kwi ywə bi sɔmmo, nə pa' mfɑ̌ pyə wap lə fɑ Makedonya a, lə hɑ ywə yə a lə bɑwə jak a; a pɑ́ po'o la' ŋ biŋ nə tsɑ nə po nə sɔmywə, la' bɑ gɔ ti tə́ piŋ pɑ́.
Il y a un seul corps et un seul Saint-Esprit, de même qu'il y a une seule espérance à laquelle Dieu vous a appelés.	Shyə m nə nyənyɔ Kristo yə a nə m̀ a, gɑ̌ zhyə po'o: pɑ mo lə kwi yəŋ gɑ fyə bəm wə pɑ Akaya.
Il y a un seul Seigneur, une seule foi, un seul baptême	Nə nwə kɑ? Gɑ ŋ kha kuŋ wɔ lə? Si nə jyə́!
il y a un seul Dieu, le Père de tous, qui règne sur tous, agit par tous et demeure en tous.	Ywə yə gɑ̌ gə́ a, gɑ̌ gɔ kwi' ghə tə́ nə cɑ́ guŋ msɔ awɛ bi pɔ pyə wap shəŋ ywə yə wap gɔ nə ghɔm gɑ wap bɑ pa' wɔk a.
Cependant, chacun de nous a reçu un don particulier, l'un de ceux que le Christ a généreusement accordés.	Pɔ bɔ bɑ mghɛ nthəm mfʉm, pɑ fʉtə pɔ, bɑ wap kwa dzə́ mghɛ nthəm Kristo.
Il est dit dans l'Écriture: «Quand il est monté vers les hauteurs, il a capturé des prisonniers; il a fait des dons aux hommes.»	A tə bɑ pɑ nwə sya sya pɑ́, ba Sata ŋkwa dzə̀ aŋgəle ŋkha'.
Or, que veut dire «il est monté»? Cela présuppose qu'il est aussi descendu dans les régions les plus profondes de la terre.	A tə́ bɑ pɑ́ gha'nwə pɑ́ gɑ mghɛ fa' bɔ fʉ́tə́ gɑ wap bɑ mghɛ fa' nwə dəŋdəŋ pɑ́. Yap nə miŋ gɔ sɔ' pɑ́ pɑ́ pa' mfa' map a.
Celui qui est descendu est aussi celui qui est monté au plus haut des cieux afin de remplir tout l'univers.	Gɑ̌ wə ŋkwi' gɔm gɑ́ ka mo kwɛ gɑ́ gɑ̌ pʉə́, tak po'o po piŋ gɑ́ gɑ bʉə tə ba myə na' nə ŋa'tə yɑ̌.
C'est lui qui a fait des dons particuliers aux hommes: des uns il a fait des apôtres, d'autres des prophètes, d'autres encore des évangélistes, des pasteurs ou des enseignants.	Ywə yə gɑ gɔ ghɔm a, ŋ tə́ gɔm m nə tsǒ Cyəpɔ pɑ, gɑ gɔm m pa' bʉəpǒ a, kwa' pa' gɑ shəŋtə nə jyə gɑ́ gɑ̌ ghə ywə yə bi a pɑ́ ŋ nə ŋa'tə a.
C'est ainsi qu'il a rendu le peuple de Dieu apte à accomplir son service, pour faire croître le corps du Christ.	Nə pa' Bo'gwyə́ pɔ dɑ pɑ yap tsʉ' cəcɑ̌ pɔmnəŋ nə ŋa'tə, ba myə yɑ̌ gɑ̌ gɔ ŋa'tə́.
De cette façon, nous parviendrons tous ensemble à l'unité de la foi dans la connaissance du Fils de Dieu; nous deviendrons des adultes dont le développement atteindra à la stature parfaite du Christ.	Wɔ pyə zhyə̌nwə yɔ shəŋtə bɑwə a, po biŋ nwə bi pɔ pyə thə́ yap tə̌ wə a pɑ́.
Alors, nous ne serons plus des enfants, emportés par les vagues ou le tourbillon de toutes sortes de doctrines, trompés par des hommes recourant à la ruse pour entraîner les autres dans l'erreur.	Po biŋ gɑ pu lɑ wɔ́ gə mkwɔ, gɑ pu syatə wɔ́ npfɑ́, gɑ pu lɑ tsə tsɔ́, pu yɔ pa' mku' a gɑ pu cwɔ wɔ́ nə sə yɔ.
Au contraire, en proclamant la vérité avec amour, nous grandirons en tout vers le Christ, qui est la tête.	Gɑ̌ gɔm po'o a pɑ kǔso nə pɑ, pa' cwə yə pɑ bɔk pɔk a. Ywə yə pu gɔm a, gɑ gɔm po' pa' bʉəpo a, ba myə yɑ̌ pɑ́ gɔm.
C'est grâce à lui que le corps forme un tout solide, bien uni par toutes les articulations dont il est pourvu. Ainsi, lorsque chaque partie fonctionne comme elle doit, le corps entier grandit et se développe par l'amour.	Wap bɑ pɑ Ebraika lə̀? Ba myə yɑ̌; pɑ Israɛl lə̀? Bɑ myə yɑ̌, gwya Abraham lə? Ba myə yɑ̌.
Voici donc ce que je vous demande avec insistance au nom du Seigneur: ne vous conduisez plus comme les païens que leurs pensées mènent au néant.	Nə pɑ gɛ nthəm Kristo lə? Gɑ gɔm ghɔm pʉə: Gɑ̌ bɑ tə́ dzə̀ nə́! Nə fa' tə bwá lə́? Bɑ́ tə́ dzə̀ nə́, nə ko cɛ̌ lə? Bɑ pɑ tə́ dzə̀ nə́. Nə mgwa mshɔm lə? A yɔm nə m̀ té', nə pɑ shwə̌ vʉ̌ lə? Bɑ nə mcʉ̀mmcʉ̌m!
Ils refusent de comprendre; ils n'ont aucune part à la vie qui vient de Dieu, parce qu'ils sont complètement ignorants et profondément endurcis.	Pɑ Yudea lə cwɔ a mshɔm gwa shwɔpvʉ̌' mghǎmthá mcʉ́m nthɔ.
Ils ont perdu tout sentiment de honte; ils se sont livrés au vice et commettent sans aucune retenue toutes sortes d'actions impures.	Pu lə pǐŋ ŋkwi' shwɔ a mcʉm nthá, dɑ mghwɔ' nthamtə á ta' cʉ̌m; ŋ də fashyə mcʉ̌m nthá, jwɔk biŋ di ta' tyɛ̌' tsʉ̀m.
Ce n'est pas là ce que vous avez appris au sujet du Christ!	Dɑ ghiŋ si mcʉm jɔmyɔ̌m, bi a pɑ mta' shyə gwyəgwyə ghə ywə cwəpuŋ nə m̀, kɑ msamshwə lə, kɑ mfɑ pɑ̌ gwya yɔk lə, kɑ pɑ tə pɑ́ pɑ Yudea lə, kɑ nthʉm tisuŋ lə, kɑ ghakgo lə, kɑ shyə lɑpʉə lə, kɑ mfɑ̌ fʉtə lə.
Vous avez certainement entendu tout ce qui le concerne, et on vous a enseigné, en tant que chrétiens, la vérité qui est en Jésus.	Kɑ pwa ba gǒ' lə, kɑ nə ti tə ti lə, kɑ jìkǔ' pu jì shyə lə, kɑ nə cwə tə tsʉ̌ ywə lə, kɑ fɔ̌k kɑ pə̌ŋ lə
Vous devez donc, en renonçant à votre conduite passée, vous débarrasser de votre vieille nature que ses désirs trompeurs mènent à la ruine.	tə sɛ guŋ myə shɑ mnwə awɛ, bɑ lam tsɑ̌ sɔ guŋ cwə awɛ, biŋ bɑ jwiŋ pɑ nə nwə guŋ mcu'tə awɛ.
Il faut vous laisser complètement renouveler dans votre cœur et votre esprit.	Wɑ̌ bwa, tə la' bwa yɑ̌? Wɑ̌ vʉ̀sǐ, tə lǎ' cəŋtə jɛ a?
Revêtez-vous de la nouvelle nature, créée à la ressemblance de Dieu et qui se manifeste dans la vie juste et sainte qu'inspire la vérité.	Bɑ gɔ ŋa'tə́ bɑ gɑ dɑ pɑ pwa a nə ŋa'tə́.
C'est pourquoi, rejetez le mensonge! Que chacun dise la vérité à son prochain, car nous sommes tous membres d'un même corps.	Si Tá Cyəpɔ Yeso yə byanyə bɑ nə e mama a zhyə gɑ̀ ŋ tə shwanwə pɑ.
Si vous vous mettez en colère, ne péchez pas; que votre colère s'apaise avant le coucher du soleil.	Ŋ də pɑ̌ Damasi, gɔpna' fo Aratas ghə pu cɑ guŋ mthə́ tisuŋ awɛ nə ghəm a.
Ne donnez pas au diable l'occasion de vous dominer.	Da' gɑ pu nyəŋ a nthʉm sapgó, ntwɔk a nə fǎdyə́, fi' a nə bə̌ŋ pa' shya si tə nthəm nə bú myə́.
Que celui qui volait cesse de voler; qu'il se mette à travailler de ses propres mains pour gagner honnêtement sa vie et avoir ainsi de quoi aider les pauvres.	Pɑ mo ŋa'tə a? A ka kwitə̀! Da' gɑ bɑ́ gɔ piŋ pɑnyə nə nə yɔ m̀ nthʉ̌m zhwenyə ba ywə yə Cyəpɔ gə mo zhyə́ a.
Qu'aucune parole mauvaise ne sorte de votre bouche; dites seulement des paroles utiles, qui répondent à un besoin et encouragent autrui, pour faire ainsi du bien à ceux qui vous entendent.	Gɑ̌ zhyə mu' mbɛ nə Kristo, a cwəlɔ gu' shwɔppfʉə mghǎm, kɑ́ e lə bɑ pɑ nə nɑ́ e lə bɑ ŋ khá zhyə́; kɑ́ e la tə bɑ nə nɑ́ e a lə bɑ ŋ kha zhyə, Si nə zhyə́; pu lə ká' bɛ́ bɔ tə́ ŋkhəm nə batə kɛbəŋ yɑtá.
N'attristez pas le Saint-Esprit que Dieu vous a accordé; il est la garantie que le jour viendra où Dieu vous délivrera complètement du mal.	Biŋ jyə́ gɑ́ bɛ́ bɔ – kɑ e lə bɑ pɑ nə nɑ é lə, ŋ kha zhyə Si nə zhyə́
Chassez loin de vous tout sentiment amer, toute irritation, toute colère, ainsi que les cris et les insultes. Abstenez-vous de toute forme de méchanceté.	bɛ́ bɔ pu lə lɑ e ŋkwɔ' tə ŋkho paradisi, e yu' ghɔm tsyə mo tə gɔm a pɑ́, ghɔm tsyə pu ka piŋ gɑ pɑ mo piŋ gɔm a.
Soyez bons et pleins d'affection les uns pour les autres; pardonnez-vous réciproquement, comme Dieu vous a pardonné par le Christ.	Gɑ wə ŋa'tə nə bɛ bɔ, tə́ sɔ' m̀ nə́ myə yɑ nə ŋa'tə pɑ m nə yɑ pwa.
Puisque vous êtes les enfants que Dieu aime, efforcez-vous d'être comme lui.	Myə la' pe' bɑ gɔ ŋa'tə, bɑ ŋ tə bɑ̀ bʉəpǒ pɑ́; bɑ gɑ̌ gɔm pɑ́ nwə nyənyɔ; da' gɑ gɑ bɑwə nthɔm nɑ a, po'o gɑ pu kɑ́ sɛnwə̀ nə m̀ a cyə́ yə pu jɔ a, kɑ yə pu ju' pa' gɑ̌ gɔm a lə.
Que votre façon de vivre soit inspirée par l'amour, à l'exemple du Christ qui nous a aimés et a donné sa vie pour nous, comme une offrande et un sacrifice dont l'agréable odeur plaît à Dieu.	Pa' ywə bɔ yə Si lə́ ghə myə zhyə a lə bɑ msya nwə a, pú lě nyəŋ ka'tə̀ nthʉm bapnɑ a, a pɑ́ ta' aŋgəle Sata yə e gɔ pɑ swɔp a po'o gɑ ŋ khɑ́ ŋa'tə̀ a.
Vous appartenez au peuple de Dieu, par conséquent il ne convient pas qu'une forme quelconque d'immoralité, d'impureté ou d'envie soit même mentionnée parmi vous.	Nə nwə bɔ, gɑ̌ cwyɛ'nyə Cyəpɔ mcʉ̌m nthá gɑ e kwi a bi e.
Il n'est pas convenable non plus que vous prononciez des paroles grossières, stupides ou sales. Adressez plutôt des prières de reconnaissance à Dieu.	Da' gɑ e pa' bəm gɑ́ gho' a ku' bu, nə pa' pu jyə́ tʉɔ a shyə m nə pwá. A po'o tə gɑ gɔ pɑ ŋa'tə yɑ̌ m̀ nə pwatə yə a bɑ nə m̀ a tə́ tʉɔ Kristo pɑ nə m̀.
Sachez-le bien: aucun être immoral, impur ou avare (car l'avarice, c'est de l'idolâtrie) n'aura jamais part au Royaume du Christ et de Dieu.	A po'o tə gɑ̌ ŋwɛnyə́ nthʉm pwatə, nə nə cap a, nə nə hya a, nə nə cwɔ'mkwə mə̌ ba m̀ nə nə zhwiŋ nə Kristo; nə pa' gɑ̌ nthʉɔ pɑ nə cwə yə gɑ pwatə́ a.
Que personne ne vous égare par des raisonnements trompeurs: ce sont de telles fautes qui attirent la colère de Dieu sur ceux qui s'opposent à lui.	A yəŋ bɑ gɑ̌ cʉ' bʉəpǒ! Wɔ nə nthənyə a tə́ bɑ po'o; wɔ nə lə bɑ gɔ la'tə a. Nə pa' ba tə́ pa' ŋ tə ywə a pɑ́, ŋ kɑ cyətə ghə sɔmywə yə́ pɑ ya'nyə mghɛ nthəm bá a gə a.
N'ayez donc rien de commun avec ces gens-là.	Mtiŋ nə jyə gɛ nthəm lə tə̌m cəcɑ̌ po: Nə tɔm nɑ́ nə guŋ mləŋtə awɛ, mtiŋ msya, mtiŋ nwə cyə́ mu'u, fa' mtʉɔ.
Vous étiez autrefois dans l'obscurité; mais maintenant, par votre union avec le Seigneur, vous êtes dans la lumière. Par conséquent, conduisez-vous comme des êtres qui dépendent de la lumière	Po lě shyətə kwi kʉ́ yə pyə shɑ mcu'tə lə kwi a tə ně da' pa' kwa' myə ŋ dě tə kwi sɔmywə bi po a? Da' gɑ po nə shwyɛ' a pa' ŋ dě tə́ pɑ dəŋdəŋ a.
car la lumière produit toute sorte de bonté, de droiture et de vérité.	Yɔ́, gɑ̌ wə bɑ gɔ sɔ' wə po nə batə́ mcʉ̌m nthá, da' gɑ ŋ də pɑ́ gɔ kwi sɔmywə bi po nə pa' ŋ tə sɔ' m̀ nə tsə́ tsɔ pɑ́, gɑ̌ sɔ' pɑ m nə po. Tə́ pó nə dwɔ' ywə bi m tǎ pɑ́, mtǎ nə dwɔ' ywə bi pǒ.
Efforcez-vous de discerner ce qui plaît au Seigneur.	Sɔ' m nə yɑ nə pɑ, gɑ̌ gɔ sim nɑ a piŋ sim ywə nə yɔ thə tə səm. Tə́ dəŋ pa' gɑ̌ nə ŋkhuŋ wɔ a, tə́ po ŋkhuŋ a yɑ̌ lə́?
N'ayez aucune part aux actions stériles que l'on pratique dans l'obscurité; dénoncez-les plutôt.	Pǒ zhyə gɑ́ po ka sim sɔmywə nə m̀! Pa' gɑ̌ bɑ́ gɛ fʉ̌ á, ŋ dě dɑ pɑ́ fʉ̌ ŋkho nə po.
