à	á
rouler	bígdâ
réparer	lɔ2́
santé	mbwàgí
savoir	jəm̀
siffler	lɔŋ́
signe	ndəm̀1
sombrer	dímâ
tas	ɛ-̀tùmá
tenace	à-tód
tendre	límî
tendre	təg̀
titre	ŋ̀-kóŋ
touiller	sáb
tromper	vùz
vaincre	bɔb̀
vanner	pəb́2
veiller	józê
oquer	sòŋlò
voyage	d-ùlà
abaisser	sùzà
aïeul	m̀-mònì
ahan	ɛ-̀ndəŋ́
aligner	tɛĺî
annonce	ndɔŋ́
annoncer	kàd
annoncer	kàd
annoncer	càm
appeler	lɔŋ́
appuyer	yəǵ
arbre	à-bɛĺ
wóódè	kòkómô
avocatier	pyâ
bûche	mìŋ-kùg
besoin	yáŋnì
bien	kwàgdɔ̀
bientôt	à-lú1
bloquer	bán2
bord	ŋ̀-kɔŋ̀
boucher	lɔ2́
bout	ɲ̀-cɔŋ̀1
brûler	sòblò
butte	ɛ-̀bóm
calomnier	bád
caquet	ù-jəḿ
caqueter	kpál
casser	kəǵ2
chaise	ì-bógî
chanter	lɔŋ́
charger	kúdî
charger	kág2
choisir	twáb
chute	m̀-məg̀
collant	lád2
coller	bàgbà
concasser	bòm
contrée	à-tán
couvert	búdâ
creux	m̀-mɔǵ
cynisme	ŋgɛd́
demeurer	káŋâ
démarrer	càg
dénommer	yòlò
doute	m̀-pɛď
déplacer	pógó
déposer	sùzà
eau	mə-̀jə́g
enfant	m-wán
envahir	lád2
expulser	càm
fatiguer	təg̀
filet	ɛ-̀vɔd́
flair	ɲ̀-cwàn
fouetter	bɔb̀
fétiche	ŋgàŋ
germer	kəǵ2
germer	kəǵ2
goyave	ì-bòmó
grade	ŋ̀-kóŋ
guérir	lɛd̀à
homme	ndómní
insolent	yág
lance	ɛ-̀kɔŋ̌
laver	pùbnì
lutter	pùbnì
marcher	wùlà
marteau	hámgì
mettre	tɛĺî
moitié	ì-tùn1
Monsieur	ǹ-tí
monter	pəb́1
mouvoir	ndəŋ́
museau	m̀-móm
oreiller	pílâ
aisseur	à-tǐg
peinture	pəḿ
pencher	nìgá
percevoir	wóg
petit	ì-kùŋá
piquer	jìdì1
plat	mì-sɔŋ̀
plein	ɛ-̀bóm
plumes	ɛ-̀vùl
poche	m̀-pəǵ
poison	ì-nèy
preuve	ndəm̀1
produire	lòd
protéger	kálâ
pétiller	sáb
puiser	ləŋ̀1
antité	ɛ-̀bím
ereller	cəg̀2
iétude	mbwàgí
rapport	ndɔŋ́
récit	ǹ-náŋ1
recoudre	lɔ2́
repriser	lɔ2́
revenant	kón1
rigueur	ŋgɛd́
rite	ɛ-̀kəŋ̀2
robuste	ság2
rognon	ɛ-̀tám
résonner	lɔŋ́
résoudre	swàm
réunir	tóbnì
sacrifier	cíg
savate	ɛ-̀bâg
seigneur	ǹ-tí
sens	ndìmzàná
sillon	ɛ-̀bóm
solo	láŋdânà
soucier	táŋâ
souvenir	còg
surdité	ndɔǵ
surmener	təg̀
surpasser	lòd
surtout	dàŋ1
taquiner	bàgì
terminer	mànà
tirefort	jəǵ
tomber	kúdî
trouver	swàm
tuyau	ŋ̀-kɔŋ́
vantard	məm̀
vent	ì-vúŋlâ
vessie	ǹ-təǵ
vestige	ì-líg
vociférer	bám
volume	ɛ-̀bím
Yaoundé	ŋgólô
accepter	məm̀
accord	m-ágnì
acerbe	bì-ŋgád
agréable	yɛńî
aile	m̀-pùbnì
amande	m̀-mǎŋ2
appareil	jəǵ
wóódè	ù-tìlgà
arbuste	pàŋnâ
arbuste	ɛ-̀bò
arrière	páglá
asseoir	bógbô
attacher	lád2
bassin	ɛ-̀tám
becqueter	sɔǵ
blesser	kpɛl̀ì
bouder	mə-̀bún
briser	bəǵnì
bétadine	ndwân
cacaoyer	kək̀á
changer	cɛńî2
chez-soi	mbóg
chétif	ŋ̀-kód
cocotier	mbòní
comprendre	wóg
constater	yɛń
convoquer	kùd
co-épouse	mbán
coucher	búdbâ
coupé	ì-cícîgà
courbé	kúꜜkúlá
couteau	ù-kəŋ̀
couvrir	búdbâ
crampe	kúlkádá
décanter	jínbâ
décharger	sùzà
découvrir	swàm
défaite	ì-bɔb̀
dégouliner	sáb
déménager	bólî
dépeçage	ì-bà1
droite	mə-̀jóm
détendre	józê
déterminé	yág
dynamique	jàŋ
emprunter	kòlì
enruler	vùdnì
extraire	pàzì
fatiguer	təg̀
flotter	ndàmdà
fracture	búgî
frapper	bòmlò
frapper	bòmlò
pàŋnâ	ù-tìlgà
pàŋnâ	sàbsábá
funèbre	sádkâ
gonflé	ndàmdà
gueule	m̀-móm
hernie	ì-ndàg
héritage	ì-líg
huissier	lɔýâ
humilier	sámlâ
interdit	bíná
journal	ǹ-nəb́
jugement	jwáz1
lamelle	kpádá
lettre	kálâdà
léger	vɛz̀bàn
magie	ɛ-̀ŋgàŋ
marteler	bòmlò
mauvais	bəb́2
mfumbua	ù-kɔg̀
molesse	à-təǧ
monticule	kòn
mépriser	səŋ́
mystique	à-lú1
oignon	ɛ-̀jǎŋ2
papier	kálâdà
arpillé	càmnì
perplexe	nìgá
pivoter	cìŋlàn
pénitence	túg
prison	ù-pɛd̀
produire	ság2
professer	məm̀
projet	ɲ̀-ɲìní
promener	wùlà
public	ɲ̀-cəŋ̀
rapidité	à-vól
remettre	lɛd̀
remplir	jázlâ
respect	ù-lùgá
retrouver	swàm
répandre	wùlà
rétablir	lɛd̀
sauter	nəm̀nà
schéma	ǹ-nímŋì
s’enivrer	sɔǵ
sexuels	ì-bóŋ
soigner	yáŋnì
souffrir	kwàn
s’étonner	kám2
supplier	lɔ1́
tabac	ɲ̀-cwàn
symbole	ndəm̀1
oile	ù-tə́tɛd̂
tontine	ǹjàŋá
toujours	kwám
tour	pəŋ̀lànà
tourner	cìŋlàn
travailler	sá2
traverser	dàŋ2
tresse	m̀-pɛǹ
tronc	mìŋ-kùg
veiller	bàglà
village	ǹ-nàm
village	à-tán
vrille	ŋ̀-kwǎl
affaiblir	cəg̀2
affaiblir	təg̀
Allemand	njâmnì
ancêtre	m̀-mònì
annoncer	tɔŋ́2
annoncer	yɛńî
apparent	yɛńî
wóódè	ì-zə́záŋ
aérophone	tɔŋ́1
attention	kálâ
avoir	g͡bɛĺə̂1
blesser	kpɛl̀ì
cabochard	ndɔǵ
cacaoyère	kək̀á
cadenas	ɛ-̀ŋgòŋ
causerie	ǹ-náŋ1
combler	dìbgànà
comprimé	ì-bòmó
confiance	pìdì
construire	lóŋ
découpage	ì-bà1
descendre	sùzà
délirer	ləm̀zàn
dormir	ləm̀zàn
dépêcher	à-vól
effectuer	kɔm̀2
déverser	lógzô
Egypte	ìgíptɛǹ
enduit	pídgân2
enlacer	kábdân
ennemi	ǹ-zínzíŋ
enraciner	lád2
espoir	ɲ̀-ɲìní
facile	vɛz̀bàn
faillite	swád2
fente	ǹ-sàlní1
fourmis	kòkómô
glissade	ù-sɛň
grandeur	ŋ̀-kóŋ
yptien	ìgíptɛǹ
initiation	mbón
libido	ŋmg͡bɛz̀
médicament	byàŋ
erveiller	kám2
monnaie	cɛńî1
musodo	ì-zəźáŋ
ombrage	ù-jíjîn
orifice	m̀-mɔǵ
arpiller	càmnì
piment	úndúndúá
plantain	ì-kwàn
pleurnicher	jón
pointe	ɲ̀-cɔŋ̀1
promenade	d-ùlà
providence	mbàm
prétendre	məm̀
réconcilier	kòm
récupérer	twágî
ressort	ɲ̀-càg2
robinet	ŋ̀-kɔŋ́
répandre	càmnì
réprimander	bám
s’agiter	ləǵnì
sculpture	ì-bà1
semence	mə-̀jóm
serrure	ɛ-̀ŋgòŋ
signifier	tììnì
somnoler	ndəŋ̀2
soupir	m̀-vòzbò
suspect	kúꜜkúlá
téméraire	à-tód
timide	ù-sùsùdà
trichome	ɛ-̀vùl
trompette	tɔŋ́1
volonté	ɲ̀-ɲìní
accroupir	sónbô
accumuler	kwàd2
agacement	nìgíz
Allemagne	njâmnì
anglais	íꜜŋgrízí
ankylose	kúlkádá
attarder	ndəŋ̀2
audience	ɲ̀-cəŋ̀
avant-hier	úꜜján
baratin	dɔḱtɛn̂
barrière	ù-pɛd̀
bavard	ù-láŋdânà
cacaotière	kək̀á
calebasse	ndəǵ
cancan	ndəńdɔ́ŋ
caoutchouc	ndàmà
claquement	kpádá
colatier	ɛ-̀bɛľ
compléter	jázlâ
concerter	sónbô
congénère	ù-kàlà
coquille	ì-kòglò
corossol	sàbsábá
costaud	kábdân
cotisation	ǹjàŋá
coussinet	ɛ-̀bâg
crochet	m̀-pɛǹ
diaphragme	ndàm2
disparaître	sêy
disperser	càmnì
désordre	ì-zàmzà
effort	ɛ-̀ndəŋ́
enduire	pídgân2
enrouler	díŋzàn
enrouler	díŋzàn
entretien	ǹ-náŋ1
erimado	ì-zə́záŋ
errance	ɛ-̀ndəŋ́
faillite	m̀-məg̀
flasque	jɔg̀làn
fonctionner	wùlà
fétiche	ɛ-̀ŋgàŋ
grossièretés	lǒm
haineux	ǹ-zínzíŋ
histoire	ǹ-náŋ1
inscrire	tìlbàn
insuccès	m̀-məg̀
Italie	ìtályɛǹ1
jonction	ì-làdgà
maquillage	bázâ
moquer	səg̀lə̀
njangsa	ì-zə́záŋ
nourriture	ɛ-̀dí
palabre	ì-jə́gî
plaisanter	lɔb́1
luchures	ì-kòglò
pressoir	ù-pɛd̀
raccommoder	lɔ2́
rancunier	vùdnì
rapidement	à-vól
reconnaître	jəm̀
refroidir	vwábî
répartition	ŋgàb
résister	kábdân
réussir	kàmzànà
sculpture	à-byà
support	ì-súùgà
surveiller	bàglà
traduire	tìmzànà
trousseau	ɛ-̀sàŋ
vieillard	ɲ̀-ɲǒm
adolescent	ndómní
Amérique	àmɛd̀kán
bagage	m̀-məg̀lə̀
baragouiner	lɔb́1
bien-être	mbwàgí
bougonner	mə-̀bún
camarade	ì-jɔŋ̀2
changement	cɛńî1
charpente	ǹ-nímŋì
communauté	ɛ-̀jóm
compagnie	ì-jɔŋ̀2
compagnon	ì-jɔŋ̀2
confiance	ɛ-̀pìdí
copuler	g͡bɛɛ̀̀nì
cruel	ŋ̀-gə́ŋgɛd́
devoir	g͡bɛĺə̂1
distribution	ŋgàb
djansang	ì-zə́záŋ
désaccord	m̀-pɛď
enflure	ì-pəṕâmà
esprit	ɲ̀-cíꜜɲcím
hypocrisie	ù-ləb̀
ingérer	g͡bàŋbàn
inguinale	ì-ndàg
insulter	səə̀ǹì
internat	ì-pwàgɔ́
intuition	ɲ̀-cwàn
joyeusetés	ì-zàmì
loquace	ù-láŋdânà
maussade	ù-sùsùdà
météore	ù-tə́tɛd̂
munitions	ɛ-̀kɔŋ̌
naissance	ɛ-̀wálî
njansang	ì-zə́záŋ
protester	pɛd̀nì2
réchauffer	jóŋlô
récompense	m-ágnì
recueillir	ləŋ̀1
renchérir	kàmzànà
rencontrer	tóbnì
renfermé	ù-sùsùdà
rivaliser	pɛd̀nì2
sissongo	mì-sɔ̀ŋ
sissongo	mì-sɔ̀ŋ
sortant	ì-pəṕâmà
strophantus	ì-nèy
survivre	vəə̀b̀ə̀
téléphone	ŋ̀-kwǎl
transpercer	tûbnì
acariâtre	bì-ŋgád
acquiesser	kàmzànà
actuellement	à-lú1
américain	àmɛd̀kán
après-demain	úꜜján
attention	səb̀lə̀
battement	m̀-pùbnì
bienveillance	mbàm
bredouiller	búblân
célébration	ù-lùgá
commenter	pɛz̀lànà
contretemps	tûbnì
crépuscule	ù-jíjîn
débrouiller	ndəŋ́
discussion	m̀-pɛď
enfoncer	g͡bàŋbàn
essessang	ì-zə́záŋ
expliquer	tìmzànà
insuffisant	swád2
intervenir	hámzân
italiens	ìtályɛǹ1
mâchoire	ŋm̀-kpəḿ
nouveau	ŋm̀-kpámgí
pennisetum	ǹ-nɔ̌ŋ
pêle-mêle	ì-cícîgà
posséder	g͡bɛĺə̂1
recevoir	g͡bɛɛ̀̀nì
recommander	kùmdà
rendez-vous	m-ágnì
renfrogné	ù-sùsùdà
réveiller	bùmgàn
s’accrocher	hámzân
sélectionner	twáb
s’émerveiller	kám2
souhaitable	sílâ2
stationnement	bán1
Tekaponera	kòkómô
testicule	m̀-mǎŋ2
transmettre	kàlnì
tressaillir	bùmgàn
vandalisme	ɛ-̀tóm1
utilisé	g͡bɛɛ̀ǹì
verbiage	ù-láŋdânà
volubile	ù-láŋdânà
xylophone	ù-mbəǵ
amorce	mə-̀səb̀lə̀
cancanier	ndəńdɔ́ŋ
corossolier	sàbsábá
cérémonie	ì-kááŋgà
désobéissance	ndɔǵ
expliciter	pɛz̀lànà
expliquer	pɛz̀lànà
franchement	kwàgdɔ̀
furoncle	ì-pəṕâmà
mandibule	ŋm̀-kpəḿ
nouveauté	ì-pəṕâmà
opposition	pɛd̀nì2
outrepasser	nəm̀nà
parcimonie	mə-̀zɔý
protestant	àmɛd̀kán
reconnaissant	kàŋ2
squelettique	ŋ̀-kód
traduction	ndìmzàná
accueillir	g͡bɛɛ̀̀nì
admiration	mə-̀kómgó
bouderies	bì-zəg̀dí
concurrencer	pɛd̀nì2
interpréter	pɛz̀lànà
introduire	g͡bàŋbàn
prédateur	g͡bɛɛ̀ǹì
respiration	m̀-vòzbò
sorcellerie	ŋmg͡bɛĺ
vagabondage	ɛ-̀ndə́ŋ
broussailles	ɛ-̀tùmá
clabauderie	ndəńdɔ́ŋ
passifloracée	kòkómô
revendication	ì-zàmì
rigoureux	ŋ̀-gə́ŋgɛd́
silhouette	ɲ̀-cíꜜɲcím
euphorbiacée	ì-zəźáŋ
sifflotement	ù-lə́lɔŋ́
signification	ndìmzàná
subrepticement	kúꜜkúlá
accompagnement	ù-mbəǵ
félicitations	mə-̀tàmná
plaisanterie	bì-zəg̀dí
prostitution	ŋ̀-kànəŋ̀1
sucré	ì-ŋmg͡bəŋ̀mgb͡əg̀
basá	sí
plus	pə ̂
aussi	pə ̂
bien	páŋ
main	d-ɔ ̌
se battre	sìŋ
aguicher	kàz èè
at	ì-tə ́
aurore	cə ́
rougir	və ̀
noir	vín
visite	cə ́
huer	sòg èè
bien	təb́ə ̂
couper	sàl
défi	pɛǹə ̀
durée	ǹ-tə ́
injurier	sə ̀
insulter	sə ̀
litige	ɛ-̀vɔ ́
laver	wɔǵɔ ̂
limite	ɲ̀-ɲə ̀
maïs	sà mbàz
hauteur	ǹ-tə ́
espoir	kâm bə
même si	tɔ
mûrir	və ̀
dessous	á sí
doux	bùd bùd
bonheur	 ́ mbɔm̌
oreille	à-lɔ ́
pluie	fine pòb
proche	bəb̀ə ̀
engendrer	wɔ ́
fil de fer	ŋgáz
montrer	lɛd́ə ̂
oindre	wɔǵɔ ̂
mets	lɔm̀ɔ ̀
bas	wɔ	́
lieu	pə ́
pan	à-lɔ ́
planter	bə	̀
accoucher	wɔ ́
affaire	ɛ-̀vɔ ́
amusersəb̀lə	̀
conflit	ɛ-̀vɔ ́
paume	d-ɔ ́íꜜtə
rester	təm̀ə ́
suspecter	kpə ́
enclos	ì-pwàgɔ ́
pavillon	à-lɔ ́
iroko	ù-sə ́ábâŋ
plante	àlɔ ́mbúâ
plein	ɲɔd̀ɔ ́èè
saturé	ɲɔd̀ɔ ́èè
lèvre	à-lɔ ́ꜜmbɛĺ
solitaire	kɛd́gə ́ítámá
collectivement	lɔb́ɔ ́lɔb́ɔ
rouge	və ̀
défi	pɛǹə ̀
amener	kə ̀èè
mbɛǹbə	̀ mìn
geste	pɛǹə ̀
naïf	zəm̀bə ̀
moment	ɲ̀-ɲə ̀
udit	ɲ̀-ɲəm̀ə ̀
bercer	səb̀lə ̀
déclencher	sə ̀
embellir	ɲəb̀ə ̀
gluant	kəŋ̀bə ̀
eillé	vəə̀b̀ə ̀
améliorer	ɲəb̀ə ̀
entraîner	kə ̀èè
frontière	ɲ̀-ɲə ̀
savant	ɲ̀-ɲə̀mə ̀
tamis	ì-sə̀gzə ̀
initié	ɲ̀-ɲə̀mə ̀
charge	m̀-mə̀glə ̀
insomnie	vəə̀b̀ə ̀
poursuivre	kə ̀èè
connaisseur	ɲ̀-ɲə̀mə ̀
blé	ù-və́gə ̂
amocher	bəb́ə ̂
art	kɛd́bə ̂èè
wóódè	ù-kɛ́nə ̂
fragile	kɛĺə ̂
admettre	jəb́lə ̂
hoqueter	səǵbə ̂
présenter	lɛd́ə ̂
sangloter	səǵbə ̂
croustillant	kɛĺə ̂
besoin	yág èè
bras	d-ɔ ̌
ouse de	ŋgá
dès que	ɲìná
lianes	sɔ ̀
eue	ù-kwàd
partir de	tê
plus que	lòd
pâte	ǹ-tùdà
pot	m̀-mɔŋ̀
pubis	mbùm sí
rat	kwé ì sí
rien	á pûpùd
rechauffe	jóŋ
bâton 	ù-vəŋ̀
cacao	kək̀á
charmer	kàz èè
frêle	líg ꜜlíg
guetter	mwán
légère	bùb èè
aimer	dìŋnì èè
semaine	sɔńɔ ̂
se tromper	dəm̀
teigne	mə-̀kɔ
partir tôt	kún1
asthme	ìbəm̀ kɔ
crinière	ù-làn
courtiser	kàz èè
dimanche	sɔńɔ ̂
médecin	dɔb́dɔ ̂
non-mûr	ì-tòdò
plante médicinale	mbúꜜmbwí
respirer avec peine	səǵzân
déféquer	váz
nuque	kwàd cíŋ
autant que	átá
obliger à	nɔd̀ɔ
provenir de	tê
cage	mwàn ípwàgɔ
lutter	ndəŋ́ èè
papier	mbɔb̀ɔ ̀
répondre de	kàd
trouver	yɛń nâ
bouteille	sɔb́
facile à tromper	kpəǵ
jeune personne	ì-náŋgà
graine immature	m̀-mád
désir sexuel	ŋmg͡bɛz̀
courant d'eau	ɲ̀-càbgà
calmer	vwábî
guérir	vwábî
oiseau	ì-kpá í ꜜŋmám
mal de ventre	bì-lɔǵ
parasite	bád ɛẃálî
pou du pubis	ì-lád1
poignet	ì-bwágzí dɔ
paludisme	tíd mə̀cǐ
macabo	àpǔm ɛb̂àŋà
lit maternel	j-ɔǧ
faire l'amour	bómnì
à l'improviste	mpám
être couché	bəḿə
pomme d'Adam	ù-dág
évaporer	vəb́ə
oiseau	ùnwàn kág
leurs	àbní
leur	àbní
fatigué	ìvɔ ̀ìvɔ
critiquer	sòg èè
dégager	odeur nùm
plantain	ì-lǎd
réussir à	kàbà á
robe	kàbà ŋ̀kùg
serpent	ŋ̀-kág
sœur	mwǎn ꜜmáŋá
tenace	jɔǵbɔ ̂
etui à flèches	pàd
besoin	yág èè
foyer	ndá ɛb̀á
coucher avec	kə2̀
confondre à	pòònò
bouche béé	pòdbò
clopiner	pɛńgə
déranger	jóŋlô
fraîcheur	ì-sín
inutilité	pídí pɔ
graine	ɲ̀-cɔ
glisser	tɛl̀
obstiné à	lɛ̀d ńnó
coup de pied	ɲ̀-càŋ2
faire bouillir	twàgdɔ
pectoraux	ɛ-̀bé ɛ ́tó
personne jeune	ì-náŋgà
banane douce	újô
chaire	ì-kàd màm
bon à rien	zəz̀è
payer dot	vəg̀
supporter	mìn
faire du bruit	dùŋ
agressif	hàm
mettre bas	wɔ ́
nuage	ì-báz í yó
par exprès	ù-váŋ
plantain	ndwán
petit	ǹ-tɔ́gɔ ̂
porte	m̀-mə́ ndá
reste	ì-súg ꜜmɔ
musique	ì-kùd àwú
maternel	ɲà ndómô
poutre	ù-bóŋ ɲádâ
chambre	ì-tùn í ndá
vraiment	kwàgdɔ ̀
faire beaucoup	dàŋ1
canon du fusil	ŋ̀-kɔŋ́ ŋgál
escargot de rivière	ɛ-̀lɔŋ̌
tenir raidement debout	límâ
p pain	bɛɛ̀d̀í
né məm̀àn	àwó
insomnie	tàná
prier	kòglàn èè
adjoint du chef	ì-hɛ́dmàn
palais	ndá ànùŋ
hôpital	dɔb́dɔ ̂
mineur	ǹ-tɔ́gɔ ̂
oboto	àbɔl̀ zwàg
junior	ǹ-tɔ́gɔ ̂
sanglier	ŋgwě ìpə
gandoura	gàŋ dùdà
se briser	bəǵnì
se répandre	wùlà
se réserver	kùgbà
se promener	wùlà
parole	ŋ̀-kɔĺɔ ̂
pendant	kəb̀ kə̀b
infirmier	dɔb́dɔ ̂
locuste	mbàg sàná
extorquer	díínì èè
taille remarquable	pɔɔ̀ḿ
oncle maternel	ɲɔ ̀ ndómô
jeudi	swánɔ ̂məl̀ú mə ́ lá
tomber accidentellement	g͡bàŋbàn
ménage	ndá ɛb̀á
appui	ì-súùgà
flatterie	mbòl
frère	mɔ ̌ꜜtádá
noir foncé	vyùúg
coude	ì-súd bɔŋ́
s'habiller de	dál
iris	ù-ɲǎŋ ꜜdíz
entrée	m̀-mə́ ndá
faible	ndɛd̀gí
pipe	mbə ́ì tàgà
créateur	ŋ̀-kòmò
plus ou moins	ndúŋ
faire sécher	kódô2
pantalon usé	kùlbá2
plat de maïs	ì-kòmò
manquer de peu	pàmzà
oiseau	ŋ́kəĝ məb̀ò
Panthera pardus	zěy
histoire drôle	ì-làŋ
maïs	m-ìz mə ́sádyâ
pique-bœuf	ùnwàn kág
wóódè	mbòŋglí
sévère	jɔǵbɔ ̂
bourgeon	lɔm̀ɔ ̀
se dépêcher	à-vól
embryon	kəm̀ mə̀cǐ
intense	bəg̀ bəg̀
rail	ŋ̀-kɔŋ́ ɲcínâ
oiseau	kwàwɔ́dɔ ̂
poisson fumé	gèdè
silence	ì-kù ndìm
bout du sein	ɲ̀-cɔ̀ŋ ɛb́é
culte eucharistique	mɛź
pomme de terre	mə-̀tódó
tourner autour	cìŋlàn
plante	lélê ǹtáŋní
travail	forcé njɔǵ
travers	kəń ꜜgáná
saison sèche	ì-səb̀
se retenir	kùgbà
racler	wɔḿlɔ ̂
non-sens	pídí pɔ
nez	ù-tə̌m ꜜdóy
leader	àsú zɔg̀ɔ
prune	àpùmá àsá
agacer	pɔŋ́zɔ
bruyant	tòg èè
fatiguer	təg̀ èè
homélie	ì-kàd màm
moindre	ǹ-tɔ́gɔ ̂
sans ailes	ǹ-nəŋ́
iphyte	bád ɛ́wálî
mutondo	ndàm ìbùm
chef	m-òd àtán
mal agir	bəb́ə ̂
frôler	wɔḿlɔ ̂
brute	m̀pím ŋgûdà
chétif	ǹ-tɔ́gɔ ̂
lisse	ŋkwàn ŋkwàn
se tordre	nɔg̀làn
selles	bɔ ̀kògló
avec hâte	mbògmbòg
bas du dos	ɛ-̀tám
inciter à	sòŋlò
aiguille 	ndùndɔ ̀
comte rendu	ndɔŋ́
cinq francs	d-ɔĺɔ
alouette	kwàwɔ́dɔ ̂
adapter	jəm̀zàn èè
accorder	tóbnì èè
vin	kpək̀pàzà njì
rein	m̀-màŋ ɛt́ám
combatif	kàdà kádá
dents agacés	nìgíz
dot forcée	m̀-pəŋ̀ə
fleur	m̀-mɔ̀ŋ lɛń
fer à repasser	áɲân
rencontrer	tóbnò èè
serpent	ù-bóg mbòn
classe d'âge	ù-kàlà
dard	ɲ̀-cɔŋ̀ ḿbómbôŋ
déjeuner	ì-càm ɛk̀àg
plante	ì-tòŋ ɛṕàn
injection	ùndùndɔ ̀
Herpestes	naso mbǎg
beau-père	ɲ̀-cǐ à pâm
caillot de sang	kəm̀ə
civette	ì-sìz ì zɔỳ
faire attention	kálâ
baliverne	pídí pɔ
chef né	àsú zɔg̀ɔ
considérer	yɛń nâ
conspuer	ɲùmnì èè
criquet	mbàg sàná
débutant	ǹ-tɔ́gɔ ̂
piment	ńtɔŋ́ zûdà
plante	ɲádâ ìlwág
pou de la tête	ɲǐn
redouter	ɲàmnì èè
se dérober	sɛl̀gàn
happer	sɔd́ə́ŋgán
infirmière	dɔb́dɔ ̂
